Timestamp,Server_Workload(%),Inlet_Temperature(°C),Outlet_Temperature(°C),Ambient_Temperature(°C),Cooling_Unit_Power_Consumption(kW),Chiller_Usage(%),AHU_Usage(%),Total_Energy_Cost($),Temperature_Deviation(°C),Cooling_Strategy_Action,Output,scenario,severity,failure_point,sensor_status,data_quality,is_outlier,event_id,run_id
2026-07-29 11:21:56.307-07,71.26,21.80,28.33,23.15,0.860,74.90,51.29,0.0700,0.85,Increase Chiller,0,normal,info,,online,valid,f,6b7b8dd8-100c-423d-bea6-c5285fa907e0,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:56.363-07,99.64,26.18,30.78,22.91,1.000,98.90,59.07,0.1000,1.09,Boost All,3,workload_spike,warning,,online,valid,t,3dd41709-b247-47e6-ba3e-8e508c27fb2f,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:56.418-07,95.35,26.25,28.87,24.06,1.010,99.10,43.71,0.1400,0.06,Eco Mode,4,normal,info,,online,valid,f,5d2401fd-0192-4d6e-859a-a69feaa59856,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:56.474-07,58.87,20.16,25.55,25.72,0.760,62.32,51.76,0.1100,1.72,Increase Chiller,0,normal,info,,online,valid,f,bdeb2607-331e-4b2b-bf43-60c10607e2e7,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:56.53-07,97.99,24.48,29.33,24.01,1.000,96.73,44.71,0.1500,0.01,Increase Chiller,0,outlier,warning,,online,valid,t,ab5aa9d2-6398-4401-8499-0dbd18406eba,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:56.586-07,47.93,22.10,25.60,19.98,0.610,50.73,40.29,0.0500,4.02,Maintain,2,normal,info,,online,valid,f,de63bf02-0fb4-4aaa-9f98-35ac491b4926,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:56.643-07,64.93,21.31,24.27,24.27,0.730,60.62,49.20,0.1000,0.27,Eco Mode,4,normal,info,,online,valid,f,721341ef-6491-4558-bce3-b776a69a3309,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:56.699-07,19.43,15.58,18.74,20.74,0.400,26.39,37.47,0.0400,3.26,Increase Chiller,0,normal,info,,online,valid,f,456cb609-293a-49d3-a66f-01c7ac07d169,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:56.755-07,100.00,24.62,24.86,26.46,1.060,100.00,52.82,0.1000,2.46,Eco Mode,4,normal,info,,online,valid,f,2aeba448-0c33-4758-a7bb-cf8ab6f68158,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:56.811-07,81.39,22.70,29.41,19.32,0.860,83.13,39.59,0.0900,4.68,Eco Mode,4,normal,info,,online,valid,f,3e60d787-24eb-48ee-bf3f-ff0fdd042e33,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:56.867-07,54.93,19.23,25.61,21.36,0.620,51.33,41.35,0.0800,2.64,Increase Chiller,0,normal,info,,online,valid,f,47498514-9e83-4c28-9b81-5d839065fa3d,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:56.924-07,28.14,16.43,21.98,29.58,0.580,35.43,59.30,0.0600,5.58,Eco Mode,4,normal,info,,online,valid,f,e4ea760f-590c-4eee-acb6-9981c6e46abf,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:56.98-07,76.61,21.95,29.03,27.04,0.940,80.55,58.43,0.0800,3.04,Maintain,2,normal,info,,online,valid,f,3084e5a8-ee73-43d4-a09d-d8a03699c2e5,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:57.033-07,92.13,23.79,32.79,25.26,1.030,94.19,55.21,0.1000,1.26,Maintain,2,normal,info,,online,valid,f,65970789-ab93-49c5-bf3b-302b2bd479fb,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:57.089-07,19.15,16.21,21.66,24.24,0.410,20.00,50.48,0.0400,0.24,Boost All,3,normal,info,,online,valid,f,665d903e-cea8-4383-b554-4937c6b98986,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:57.146-07,53.82,20.30,24.28,25.20,0.620,44.85,51.37,0.0800,1.20,Reduce AHU,1,normal,info,,online,valid,f,52d83891-b45e-462f-8caa-d37221ed8b22,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:57.201-07,81.63,24.48,27.36,23.39,0.890,80.66,49.12,0.1000,0.61,Increase Chiller,0,normal,info,,online,valid,f,d2c805f6-5cfb-4961-bccc-7b102f236a9e,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:57.256-07,79.74,23.60,24.61,24.22,0.940,86.40,50.43,0.1300,0.22,Reduce AHU,1,normal,info,,online,valid,f,6077d60d-f8dd-4d56-8680-ea196654cf2c,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:57.312-07,100.00,25.58,31.90,25.30,1.060,100.00,51.26,0.1500,1.30,Eco Mode,4,outlier,warning,,online,valid,t,eac7592d-5aca-4412-a649-f976e46fb9bf,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:57.367-07,68.83,18.53,19.89,26.58,0.770,62.79,54.20,0.0900,2.58,Boost All,3,normal,info,,online,valid,f,d1a9db2d-3a9a-45bc-ad31-173c67bcc530,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:57.424-07,48.84,20.43,27.33,24.57,0.620,47.06,48.08,0.0500,0.57,Eco Mode,4,normal,info,,online,valid,f,adbe3bcd-7a45-41f0-85eb-ffe59abdc3aa,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
