Timestamp,Server_Workload(%),Inlet_Temperature(°C),Outlet_Temperature(°C),Ambient_Temperature(°C),Cooling_Unit_Power_Consumption(kW),Chiller_Usage(%),AHU_Usage(%),Total_Energy_Cost($),Temperature_Deviation(°C),Cooling_Strategy_Action,Output,scenario,severity,failure_point,sensor_status,data_quality,is_outlier,event_id
2026-07-20 10:12:36.63-07,66.34,18.96,22.14,27.37,0.820,69.39,53.31,0.0900,3.37,Boost All,3,legacy,info,,online,valid,f,748ce34b-7005-48a9-996c-e40cb3ca20b2
2026-07-20 10:12:36.655-07,67.75,22.68,25.18,21.30,0.730,62.16,46.31,0.0600,2.70,Increase Chiller,0,legacy,info,,online,valid,f,a0a464c5-761d-4803-9f1c-76d8838fa2d1
2026-07-20 10:12:36.68-07,99.73,25.59,29.62,27.23,1.050,100.00,49.67,0.1600,3.23,Maintain,2,legacy,info,,online,valid,t,d594df04-ed25-4f97-8b24-bc28824a734b
2026-07-20 10:12:36.706-07,57.08,20.69,24.28,25.54,0.670,48.68,55.91,0.1000,1.54,Eco Mode,4,legacy,info,,online,valid,f,594200bb-21e5-45e5-b95f-6013910d3c24
2026-07-20 10:12:36.732-07,72.23,21.05,27.44,24.50,0.850,78.53,45.13,0.1000,0.50,Eco Mode,4,legacy,info,,online,valid,f,60d5101d-3985-4178-b895-99efbc85b602
2026-07-20 10:12:36.757-07,68.49,20.08,20.08,25.68,0.840,71.07,54.91,0.0700,1.68,Eco Mode,4,legacy,info,,online,valid,f,104a95d5-a1c5-43a2-9529-e6d2f8203835
2026-07-20 10:12:36.783-07,64.07,20.34,25.64,27.18,0.810,66.30,55.21,0.0800,3.18,Maintain,2,legacy,info,,online,valid,f,4baab716-8784-4d48-be90-cc4fe264fc2c
2026-07-20 10:12:36.809-07,59.32,21.75,29.43,31.92,0.720,51.67,61.79,0.0600,7.92,Eco Mode,4,legacy,info,,online,valid,t,3949fadf-c292-4425-8e37-6b2949ec0c0f
2026-07-20 10:12:36.834-07,100.00,25.53,30.92,20.40,1.010,100.00,41.26,0.1200,3.60,Eco Mode,4,legacy,info,,online,valid,f,b03a98a5-e127-4545-8140-9989057e94d9
2026-07-20 10:12:36.86-07,53.20,21.63,25.34,23.31,0.560,43.29,42.40,0.0600,0.69,Boost All,3,legacy,info,,online,valid,f,63aa5d09-ac49-4f52-a699-365f98fb3adf
