Timestamp,Server_Workload(%),Inlet_Temperature(°C),Outlet_Temperature(°C),Ambient_Temperature(°C),Cooling_Unit_Power_Consumption(kW),Chiller_Usage(%),AHU_Usage(%),Total_Energy_Cost($),Temperature_Deviation(°C),Cooling_Strategy_Action,Output
2025-01-01 00:00:00,100.0,24.72632281593243,28.469323873263708,21.42445350887121,0.98,94.20585896690616,45.46291098823596,0.09,2.58,Reduce AHU,1
2025-01-01 01:00:00,87.35899263047313,23.085262135314082,29.85436366471003,26.420270951892125,0.95,85.77699619269852,53.185858261949576,0.1,2.42,Eco Mode,4
2025-01-01 02:00:00,19.31379966079001,16.288791406000026,23.38184600676756,21.452171878083682,0.43,28.148671834157703,40.833469322981934,0.06,2.55,Eco Mode,4
2025-01-01 03:00:00,41.40667955013878,19.217280242427403,24.32369857972349,19.200411971860184,0.61,49.30022744992615,42.490921640474454,0.08,4.8,Boost All,3
2025-01-01 04:00:00,49.514888570773024,19.991739982875472,23.20554343728745,26.7685031566425,0.69,49.656126865231116,58.10088982561873,0.1,2.77,Eco Mode,4
2025-01-01 05:00:00,50.2218958956809,19.0734436931662,22.237347158581848,27.58365461682685,0.69,49.052331427797746,58.551610881252316,0.07,3.58,Boost All,3
2025-01-01 06:00:00,36.096725367015814,18.655843599517898,23.00747270037926,18.0,0.5,40.129625841144716,35.56276410068109,0.06,6.0,Maintain,2
2025-01-01 07:00:00,53.263935487717475,19.47800594347663,22.656098615162158,23.431236624196913,0.7,59.68979063958502,45.39935452675918,0.09,0.57,Boost All,3
2025-01-01 08:00:00,95.95380398837662,24.535217804113127,33.83406110738038,23.863866756660634,0.96,93.72293440373566,42.84128757255475,0.13,0.14,Reduce AHU,1
2025-01-01 09:00:00,57.35860653362174,22.01576264158844,23.508595267362114,19.101937636095847,0.74,66.73633177363368,42.02489987117692,0.08,4.9,Increase Chiller,0
2025-01-01 10:00:00,74.41743772648515,23.013192780224347,28.13966425336938,20.722873596211837,0.83,75.74684654685103,45.47684258225662,0.08,3.28,Maintain,2
2025-01-01 11:00:00,79.66193956492684,21.584751976229775,26.488490194623896,22.553045977996874,0.81,73.86468739401404,43.04453184360132,0.11,1.45,Reduce AHU,1
2025-01-01 12:00:00,71.49806506003111,20.857687597806024,24.992444219232194,23.322058080941556,0.76,66.12665080711741,46.46230272747204,0.09,0.68,Boost All,3
2025-01-01 13:00:00,58.50918952060892,19.693436191156906,20.740862244885143,23.159080993757083,0.63,53.09316341711935,41.49160668957116,0.09,0.84,Eco Mode,4
2025-01-01 14:00:00,56.861604729097046,20.517227620420968,23.757371376308974,22.77300731961177,0.66,52.34188916167217,48.59020551885317,0.1,1.23,Eco Mode,4
2025-01-01 15:00:00,11.596785795254235,15.759822716480913,20.281652137505837,21.15239258393336,0.39,20.0,46.021225753133464,0.05,2.85,Eco Mode,4
2025-01-01 16:00:00,48.973248798549946,21.08141035217642,25.762863816701525,24.142881881270043,0.71,57.37442953671357,49.22380132282219,0.07,0.14,Eco Mode,4
2025-01-01 17:00:00,37.956368537462765,18.113041613250218,27.378853414927885,24.174170427227164,0.57,40.17749976459828,49.809626589656,0.05,0.17,Reduce AHU,1
2025-01-01 18:00:00,52.64460171251816,19.648808350751086,28.884316437493176,23.401273121952574,0.62,48.90448245280616,45.92044030398629,0.09,0.6,Increase Chiller,0
2025-01-01 19:00:00,80.14384229417854,25.133824526437518,28.973983970000823,25.783774156835793,0.94,88.7804407624218,46.72157776202948,0.09,1.78,Reduce AHU,1
2025-01-01 20:00:00,65.09820499250785,20.008827123942872,24.778615914329265,21.190757602603274,0.74,67.15180551248639,39.79938671069948,0.08,2.81,Reduce AHU,1
2025-01-01 21:00:00,78.57452350485872,21.01990468430066,29.199391273917854,21.32731761474293,0.78,68.92066769410472,46.254500744571224,0.06,2.67,Boost All,3
2025-01-01 22:00:00,46.01620524485563,20.554386156053962,28.66728469071475,21.280868348345756,0.57,47.05245400027461,38.730276834100515,0.06,2.72,Boost All,3
2025-01-01 23:00:00,53.114191484890156,21.28760147721253,26.802527431301026,18.0,0.54,45.850662537442346,34.571486972673,0.06,6.0,Maintain,2
2025-01-02 00:00:00,53.374226628207175,19.740405265644746,26.09571311018452,20.03244727053444,0.54,43.80661739091913,38.77712441240588,0.05,3.97,Maintain,2
2025-01-02 01:00:00,87.34452850972994,23.51288053638184,28.94147029888278,27.17909267119385,1.02,93.28533965685608,55.455017172357735,0.15,3.18,Reduce AHU,1
2025-01-02 02:00:00,39.08222064993505,18.4044866228161,19.617316580236842,25.174080331693965,0.63,44.80252242854762,54.85308846177771,0.09,1.17,Boost All,3
2025-01-02 03:00:00,47.34104406963394,19.101767622878057,25.824963821037322,23.564019910172306,0.58,43.63793729697914,46.777844348630566,0.07,0.44,Increase Chiller,0
2025-01-02 04:00:00,100.0,25.00320377126321,28.842889639804483,27.150395751427748,1.07,100.0,54.13925502177561,0.11,3.15,Boost All,3
2025-01-02 05:00:00,50.21613966463356,20.65313912412499,23.501727216224968,25.045241572232896,0.73,58.12521521537168,52.646326661481396,0.06,1.05,Reduce AHU,1
2025-01-02 06:00:00,59.241290595312755,20.484101380848447,22.95348353252389,27.617156186970206,0.73,59.13533691485153,52.18641355128972,0.08,3.62,Reduce AHU,1
2025-01-02 07:00:00,72.34254358946286,21.726163673280194,27.19917824838884,25.126216716468615,0.78,65.01163283970598,52.3541413542963,0.09,1.13,Reduce AHU,1
2025-01-02 08:00:00,55.02774679989625,21.981989338023837,25.79690497677309,23.856638898618908,0.67,53.84006706970493,47.78086280164964,0.1,0.14,Boost All,3
2025-01-02 09:00:00,98.02169727883091,24.768091938989237,27.09844245391536,20.884163410894082,1.01,100.0,41.22393676037152,0.14,3.12,Boost All,3
2025-01-02 10:00:00,51.22371351603746,20.31155181450852,25.065540500841244,26.558091287096513,0.71,56.85872842934667,51.1262465800065,0.09,2.56,Boost All,3
2025-01-02 11:00:00,31.80669729136929,19.599116132217397,26.582951143276745,25.882017328295042,0.52,32.473996465784346,52.48113401211421,0.08,1.88,Maintain,2
2025-01-02 12:00:00,76.26188293017742,21.33753516386481,28.08981050708072,23.816159829305676,0.89,79.07689175750508,51.00746995568479,0.09,0.18,Increase Chiller,0
2025-01-02 13:00:00,86.81200759719336,23.615715079904856,26.515342612011757,27.041592282765336,0.93,84.59842326565037,49.70309391082344,0.1,3.04,Reduce AHU,1
2025-01-02 14:00:00,36.60481759864806,19.03220258112168,20.760814921718005,27.471291299815277,0.63,41.93390367167274,58.425135519267165,0.08,3.47,Boost All,3
2025-01-02 15:00:00,37.15485067176146,18.676978983841995,27.764216931199474,27.218180937711157,0.53,32.78349998364217,52.8322047429399,0.07,3.22,Increase Chiller,0
2025-01-02 16:00:00,42.29524011965867,21.07044852104936,28.274645732641865,25.010489008040413,0.52,33.821342612339464,50.87482797948031,0.06,1.01,Boost All,3
2025-01-02 17:00:00,97.98613177882109,24.481292300606476,29.325792345190045,24.011146143399078,1.0,96.72952804102621,44.708928092380674,0.15,0.01,Increase Chiller,0
2025-01-02 18:00:00,41.432126502444916,19.78112638221841,25.274796264237978,28.45280762909998,0.7,49.713088437434386,60.81654347790037,0.09,4.45,Eco Mode,4
2025-01-02 19:00:00,92.63308347664761,23.84733400572081,31.17221006157337,25.82533041120686,1.07,100.0,54.90710426875497,0.14,1.83,Maintain,2
2025-01-02 20:00:00,95.83183640591938,24.059424157474222,26.967727854384265,24.206731176973467,0.94,87.31782372983082,48.235950282398875,0.08,0.21,Reduce AHU,1
2025-01-02 21:00:00,43.537362062696374,17.59658975669713,23.18846545848806,28.25899912948508,0.66,48.10846566842285,54.51030293849631,0.06,4.26,Eco Mode,4
2025-01-02 22:00:00,59.122011372083584,22.078915290187478,28.370082864648996,23.998862592739616,0.71,58.029817991806205,48.5229668019004,0.1,0.0,Boost All,3
2025-01-02 23:00:00,60.87682848949341,23.04477751431274,24.84618215229791,25.220540543830833,0.73,56.887869140822346,54.81199443771163,0.07,1.22,Eco Mode,4
2025-01-03 00:00:00,50.84214122641582,18.64227351301115,24.541098522294114,23.06136468416976,0.68,54.60692108351214,47.7759508204764,0.08,0.94,Maintain,2
2025-01-03 01:00:00,80.36561011318658,22.466563683969493,23.60379030803796,26.1368263563483,0.93,80.5184353519359,56.821900139443514,0.1,2.14,Boost All,3
2025-01-03 02:00:00,71.88769964096537,22.867178458329228,29.569690817923075,19.332268131667576,0.73,64.41022708574538,43.658566813968825,0.09,4.67,Reduce AHU,1
2025-01-03 03:00:00,70.00810229551678,21.62027396342495,29.66386610907994,22.192424789525703,0.83,78.20789920166678,41.522951743179185,0.12,1.81,Eco Mode,4
2025-01-03 04:00:00,46.171898578344965,18.40559205093982,26.246104110973203,23.34654955685137,0.61,44.41715113922545,51.57356445803883,0.06,0.65,Increase Chiller,0
2025-01-03 05:00:00,54.02985875905955,18.242960943671655,25.254923153231523,23.87389387180583,0.72,57.98402642663968,52.05407365262762,0.11,0.13,Maintain,2
2025-01-03 06:00:00,35.31128627237122,17.272787849157027,20.45962160026735,26.544119085984125,0.49,30.04764745244465,49.37812286186262,0.06,2.54,Increase Chiller,0
2025-01-03 07:00:00,58.503199054105785,20.460454312526657,23.52188353853345,21.503552136371287,0.74,62.88700954203673,46.53654217271996,0.09,2.5,Increase Chiller,0
2025-01-03 08:00:00,50.97578715326005,20.779258359790415,24.704318370625433,21.43008904679632,0.64,56.09019135693643,38.00177326591924,0.05,2.57,Increase Chiller,0
2025-01-03 09:00:00,51.248003518642044,19.64889653654325,26.005026750092185,25.863764442638495,0.73,59.51822908819945,50.59117130443665,0.09,1.86,Reduce AHU,1
2025-01-03 10:00:00,32.25493003802502,17.695266984915403,23.31143196745818,23.125260172779228,0.59,42.22429013326435,50.29380623766977,0.06,0.87,Increase Chiller,0
2025-01-03 11:00:00,80.08764550398426,22.68848769591988,30.612956891855013,26.818210368543152,0.83,70.90448542299231,53.17269120407696,0.12,2.82,Increase Chiller,0
2025-01-03 12:00:00,69.06651938167364,24.149028184703187,31.680556497136983,25.013843564438016,0.78,67.48024495767758,48.00681532073605,0.07,1.01,Eco Mode,4
2025-01-03 13:00:00,75.59306264608176,23.087386321056247,28.866814235907988,22.538316381758122,0.9,85.51794870422052,42.35001978413912,0.1,1.46,Maintain,2
2025-01-03 14:00:00,60.52259662113138,24.260161553160884,29.400677972071186,22.76604401323542,0.74,61.21019997458821,49.94176587578608,0.1,1.23,Maintain,2
2025-01-03 15:00:00,44.52551943003013,20.560245909058708,30.077107905132785,22.18519623813095,0.49,36.48614115033521,40.56806584260315,0.06,1.81,Maintain,2
2025-01-03 16:00:00,57.45751050190154,20.521651210809743,27.67564458358218,25.690463843304663,0.71,54.46146510850315,54.49864286375435,0.1,1.69,Increase Chiller,0
2025-01-03 17:00:00,51.75896531842794,20.4243822066697,27.28318451530729,25.2223092741383,0.66,51.217360026915735,51.04894427729606,0.08,1.22,Maintain,2
2025-01-03 18:00:00,93.39746227737682,24.09163262283356,28.985108275737517,19.57653231004813,0.89,85.60548359911593,40.37840767968565,0.08,4.42,Maintain,2
2025-01-03 19:00:00,59.52183542972837,22.42228528984751,28.57216094642249,18.0,0.72,68.39301110111077,34.79964439141862,0.1,6.0,Boost All,3
2025-01-03 20:00:00,74.344720380736,23.30308626937249,27.761822845104604,24.238317763247913,0.87,79.79719548341983,45.941962527594434,0.1,0.24,Reduce AHU,1
2025-01-03 21:00:00,57.01445594348504,21.54567945598658,25.470658605803226,21.890709419377778,0.7,61.04500073525857,41.61467758941043,0.1,2.11,Boost All,3
2025-01-03 22:00:00,63.756420842488495,20.47669194509693,24.881618124741085,24.748483765218708,0.77,64.2431110095851,51.902538497084834,0.06,0.75,Reduce AHU,1
2025-01-03 23:00:00,92.21696942180395,23.624831691876032,27.243778369331487,23.85254198257996,1.0,95.18237777549574,46.90326394191333,0.14,0.15,Eco Mode,4
2025-01-04 00:00:00,100.0,26.01628474618568,26.297303765604127,25.360936708284022,1.06,99.4314779763604,53.24068571843991,0.11,1.36,Eco Mode,4
2025-01-04 01:00:00,52.17819043091508,19.127850251979062,23.24557464758527,30.499244301529192,0.68,46.96166017875169,60.25953772032287,0.08,6.5,Boost All,3
2025-01-04 02:00:00,55.660669930331636,22.26718805574265,29.801509144314405,21.150856009603665,0.6,46.590349299021156,45.26902185355559,0.08,2.85,Reduce AHU,1
2025-01-04 03:00:00,96.58773351961777,24.253834546646704,26.498098556915366,23.52028339787711,0.99,96.29912021044095,44.89891711415845,0.09,0.48,Reduce AHU,1
2025-01-04 04:00:00,77.1335115736534,23.632067293863685,27.32016911388147,24.062385705680118,0.9,82.87661147074343,48.252712972372855,0.08,0.06,Increase Chiller,0
2025-01-04 05:00:00,75.4321458019054,23.92686418298736,30.002293438275764,27.495238014366624,0.92,80.80496100741458,54.282731467026395,0.13,3.5,Reduce AHU,1
2025-01-04 06:00:00,33.023653642514034,20.098679464919606,24.61123949931484,22.74100729809042,0.42,27.005379916185454,40.786873833212226,0.04,1.26,Boost All,3
2025-01-04 07:00:00,62.51182252953773,22.105219843018578,24.81765175950109,22.351686269218938,0.71,60.189890970949314,46.38435787124641,0.08,1.65,Eco Mode,4
2025-01-04 08:00:00,54.987785324697086,21.05032729425951,23.212991333358165,25.37294568490003,0.63,49.68541393719836,47.12425184652265,0.06,1.37,Maintain,2
2025-01-04 09:00:00,51.934628662716236,19.245448601281687,22.005942026936715,26.039966135856343,0.62,45.90866347078645,49.803129763318516,0.09,2.04,Boost All,3
2025-01-04 10:00:00,51.387723834978644,21.27663868165564,26.964584203878097,26.508055465250802,0.65,46.258041531567784,55.27327470917095,0.08,2.51,Increase Chiller,0
2025-01-04 11:00:00,31.10260688665346,17.186613680443475,24.531922262362723,25.84212164027156,0.47,25.303315037097953,53.5269402576067,0.06,1.84,Maintain,2
2025-01-04 12:00:00,70.12102294529194,21.831565009801317,29.210077563887076,20.57678941875905,0.79,73.47297014413039,39.55425339179517,0.1,3.42,Eco Mode,4
2025-01-04 13:00:00,38.78123853429844,19.640496052882323,25.422543472243966,28.741110769749,0.6,40.84328677510228,54.82092511654601,0.08,4.74,Maintain,2
2025-01-04 14:00:00,93.06727492734046,22.725585023737068,26.79573983566186,21.50488988897768,0.97,92.32023176851796,46.89682535499868,0.12,2.5,Eco Mode,4
2025-01-04 15:00:00,68.88072248982833,23.614102155024295,28.322804939636093,23.96967018537478,0.71,59.92682606316774,46.535325118565964,0.07,0.03,Increase Chiller,0
2025-01-04 16:00:00,45.7619194266534,18.770362224167368,18.770362224167368,26.390493331235323,0.63,43.83182903237441,55.549725989130394,0.06,2.39,Eco Mode,4
2025-01-04 17:00:00,61.47935930907511,21.671761941740726,25.962505180212283,25.570627568837335,0.72,56.74476332605488,54.08158083712322,0.06,1.57,Reduce AHU,1
2025-01-04 18:00:00,55.187189577746985,20.29115806933137,23.556411484025432,24.350871077414997,0.71,60.05566910515864,46.06520633506807,0.1,0.35,Increase Chiller,0
2025-01-04 19:00:00,53.718788720229796,20.179427911479088,27.247540630510585,23.778585140633773,0.63,52.142667158435444,43.32802558559617,0.07,0.22,Boost All,3
2025-01-04 20:00:00,46.00465494046723,17.728683668164667,25.741048161115117,23.774040650222112,0.61,45.51199102253547,48.8603909435775,0.05,0.23,Eco Mode,4
2025-01-04 21:00:00,100.0,27.440399631501922,35.070034968943496,19.26108190602804,0.99,100.0,37.38508060900586,0.13,4.74,Increase Chiller,0
2025-01-04 22:00:00,87.26591032017825,25.746508764766197,28.126428539683875,22.443130354768346,0.95,90.00799494562764,46.44709322194801,0.11,1.56,Increase Chiller,0
2025-01-04 23:00:00,100.0,26.33314550364677,33.27544757237002,18.0,0.95,97.38304845813717,34.3186186469728,0.09,6.0,Maintain,2
2025-01-05 00:00:00,47.66854533699436,18.462770645614306,25.847631778336357,22.548527289968618,0.55,40.77529582073519,45.674316003369576,0.06,1.45,Eco Mode,4
2025-01-05 01:00:00,88.78234174320437,23.721614388755796,27.612126965763387,25.088925752430008,0.9,81.42084617871541,49.4711484801822,0.11,1.09,Increase Chiller,0
2025-01-05 02:00:00,66.80376587838845,22.527322032936205,27.77867958521334,23.996591143476444,0.74,60.96246996086266,50.641512134781884,0.09,0.0,Increase Chiller,0
2025-01-05 03:00:00,62.0703685843881,21.038034230496695,25.427321462691467,21.188853213730255,0.68,59.55652085416479,41.25915532864241,0.06,2.81,Increase Chiller,0
2025-01-05 04:00:00,61.83541273267296,21.590592846888402,26.971187869733768,27.503332647253867,0.84,71.82055048470659,53.123591370215195,0.11,3.5,Maintain,2
2025-01-05 05:00:00,46.52220481001922,20.176162678048396,25.979456290803128,21.52146648989838,0.58,45.338643694891616,42.674207978551394,0.05,2.48,Boost All,3
2025-01-05 06:00:00,63.34319807959884,21.497462312763357,27.979817324002724,19.7284485480714,0.75,72.09863137638791,34.62313370144295,0.11,4.27,Boost All,3
2025-01-05 07:00:00,83.31014413105143,23.14722383001636,27.985994191014086,27.113486958592148,1.0,92.45683550657523,51.593752087433714,0.13,3.11,Eco Mode,4
2025-01-05 08:00:00,42.7888682336994,18.757766031789227,22.37310726004955,20.766390276763197,0.58,45.515490501563875,43.24249643882069,0.05,3.23,Increase Chiller,0
